date, pm25, pm10, o3, no2, co
2015/2/16, 28, , 35, 2, 
2015/2/17, 37, , 35, 3, 
2015/2/18, 48, , 24, 4, 
2015/2/19, 52, , 38, 3, 
2015/2/20, 48, , 30, 4, 
2015/2/21, 31, , 23, 2, 
2015/2/22, 20, , 19, 1, 
2015/2/23, 20, , 21, 4, 
2015/2/24, 25, , 28, 2, 
2015/2/25, 44, , 40, 3, 
2015/2/26, 52, , 29, 2, 
2015/2/27, 46, , 19, 1, 
2015/2/28, 32, , 29, 1, 
2015/3/1, 16, , 28, 1, 
2015/3/2, 28, , 24, 1, 
2015/3/3, 24, , 31, 2, 
2015/3/4, 21, , 35, 2, 
2015/3/5, 26, , 32, 2, 
2015/3/6, 23, , 35, 2, 
2015/3/7, 33, , 43, 3, 
2015/3/8, 32, , 27, 2, 
2015/3/9, 29, , 32, 3, 
2015/3/10, 22, , 36, 6, 
2015/3/11, 27, , 42, 3, 
2015/3/12, 28, , 55, 4, 
2015/3/13, 36, , 37, 12, 
2015/3/14, 41, , 32, 3, 
2015/3/15, 37, , 30, , 
2015/3/16, 32, , 17, , 
2015/3/17, 17, , 17, 2, 
2015/3/18, 15, , 20, , 
2015/3/19, 17, , 27, 4, 
2015/3/20, 22, , 40, 3, 
2015/3/21, 35, , 26, 4, 
2015/3/22, 50, , 25, 1, 
2015/3/23, 31, , 22, 1, 
2015/3/24, 21, , 30, 2, 
2015/3/25, 30, , 24, 2, 
