State,County,CS,GoodDays,ModerateDays,UnhealthyForSensitiveGroupsDays,UnhealthyDays,VeryUnhealthyDays,HazardousDays,AQI_Class_KMR,AQI_Class_KMN
Arizona,Yuma,YumaArizona,0.663642488210195,0.300758539810864,0.0305786361254585,0.00273847842902413,0.00182648401826484,0.000455373406193078,2,3
Arkansas,Clark,ClarkArkansas,0.966994777346687,0.0330052226533132,0,0,0,0,1,1
Arkansas,Crittenden,CrittendenArkansas,0.820156199316316,0.175737954437707,0.00365047283978342,0.000455373406193078,0,0,1,1
Arkansas,Newton,NewtonArkansas,0.939710864278571,0.0602891357214286,0,0,0,0,1,1
Arkansas,Polk,PolkArkansas,0.86973572426938,0.129340914696456,0.000923361034164358,0,0,0,1,1
Arkansas,Pulaski,PulaskiArkansas,0.667259275893904,0.330000998078698,0.00273972602739726,0,0,0,2,1
Arkansas,Union,UnionArkansas,0.846536428785376,0.151638334794732,0.00136986301369863,0.000455373406193078,0,0,1,1
Arkansas,Washington,WashingtonArkansas,0.816016667914265,0.183983332085735,0,0,0,0,2,1
California,Alameda,AlamedaCalifornia,0.603811413029917,0.361504104598648,0.0260111784814233,0.0073034408763131,0.00136986301369863,0,2,3
California,Amador,AmadorCalifornia,0.800557662990523,0.183332100272063,0.0161102367374135,0,0,0,2,2
California,Butte,ButteCalifornia,0.474675000623799,0.474203408438755,0.0401626868278564,0.00776255707762557,0.00136986301369863,0.00182648401826484,3,3
California,Calaveras,CalaverasCalifornia,0.625160781547288,0.336716810127395,0.0326070519741119,0.00460211434207255,0.00045662100456621,0.00045662100456621,2,3
California,Colusa,ColusaCalifornia,0.710619557352097,0.270202360456122,0.00958904109589041,0.0091324200913242,0.00045662100456621,0,2,3
California,Contra Costa,Contra CostaCalifornia,0.681377099084263,0.294425730468848,0.0164346133692642,0.00684931506849315,0.00091324200913242,0,2,3
California,El Dorado,El DoradoCalifornia,0.646731030335665,0.267817179829381,0.0731379938921444,0.0118571749382439,0.00045662100456621,0,2,3
California,Fresno,FresnoCalifornia,0.251483394465654,0.467825685555306,0.221361379344761,0.0584162986251466,0.00091324200913242,0,3,3
California,Glenn,GlennCalifornia,0.76354535287026,0.225455489928839,0.00778519944148836,0.00275482093663912,0.000459136822773186,0,2,3
California,Humboldt,HumboldtCalifornia,0.845170011446066,0.145687532836135,0.00685558733503939,0.00228686838275879,0,0,1,3
California,Imperial,ImperialCalifornia,0.260142974773561,0.623931431993413,0.100407964668014,0.0100419193053372,0.00319509943359034,0.00228060982608479,3,3
